"Proximal,10ms,0.2Hz,9.4GPM","Distal,10ms,0.2Hz,9.4GPM","Proximal,10ms,0.2Hz,8.6GPM","Distal,10ms,0.2Hz,8.6GPM","Proximal,10ms,0.2Hz,7.8GPM","Distal,10ms,0.2Hz,7.8GPM","Proximal,10ms,0.2Hz,6.7GPM","Distal,10ms,0.2Hz,6.7GPM","Proximal,10ms,0.2Hz,5.4GPM","Distal,10ms,0.2Hz,5.4GPM","Proximal,10ms,0.2Hz,3.9GPM","Distal,10ms,0.2Hz,3.9GPM","Proximal,10ms,0.2Hz,3.2GPM","Distal,10ms,0.2Hz,3.2GPM"
30.755,30.894,29.374,31.197,31.29,31.384,29.878,31.267,29.649,30.871,30.778,31.524,30.639,31.501
30.662,31.548,29.671,30.941,31.244,31.384,29.717,31.197,29.671,30.848,30.825,31.548,30.431,31.641
30.778,31.501,29.603,31.267,31.267,31.407,29.786,31.197,29.557,31.267,30.801,31.477,30.408,31.477
30.709,31.057,29.351,30.918,31.174,31.431,29.74,31.244,29.671,30.918,30.639,31.454,30.57,31.407
30.177,31.15,29.809,31.127,31.22,31.477,29.901,31.244,29.649,30.894,30.778,31.314,30.546,31.97
30.709,31.197,29.465,30.941,31.174,31.431,29.832,31.244,28.714,31.08,30.755,31.477,30.57,31.782
30.709,31.267,29.649,34.194,31.22,31.407,29.763,31.267,29.671,30.778,30.778,31.454,30.454,31.477
30.755,31.104,29.832,30.918,31.665,31.454,29.809,31.174,29.717,30.801,30.755,31.477,30.315,31.524
31.174,31.15,29.26,30.918,31.267,31.501,29.786,31.22,29.671,30.778,30.778,31.501,30.431,31.501
30.639,31.08,29.397,28.216,31.15,31.641,29.786,31.267,29.717,30.338,30.732,31.454,30.408,31.571
30.662,29.993,29.534,30.755,31.057,31.454,29.786,31.22,29.694,30.918,30.778,31.501,30.039,31.688
30.523,30.848,29.557,30.848,31.174,31.454,29.694,31.267,29.671,29.442,30.662,31.501,30.269,32.017
30.662,31.36,29.671,31.174,31.08,30.523,29.671,31.197,29.442,30.941,30.732,31.477,30.154,31.947
30.662,31.104,29.465,30.941,31.104,31.501,29.74,31.267,29.603,30.918,29.374,31.501,30.408,31.501
30.848,31.057,29.671,31.15,30.987,31.407,29.671,31.22,29.671,30.848,30.755,31.454,30.732,31.618
30.801,31.127,29.626,30.848,31.057,31.36,29.442,31.011,32.443,29.97,30.639,31.477,30.338,31.641
30.755,31.08,29.465,30.709,30.894,31.431,29.328,31.034,29.717,30.801,30.778,31.454,29.97,31.548
30.338,31.104,29.442,30.894,30.848,31.477,29.557,31.15,29.671,31.174,30.732,31.477,30.431,31.759
30.431,31.15,29.626,30.523,30.941,31.407,28.601,31.15,29.511,30.918,32.017,31.571,30.338,31.618
31.057,31.034,29.671,30.778,30.848,31.454,29.078,31.034,29.694,30.825,30.685,29.306,30.778,31.548
30.778,31.034,29.671,31.174,30.825,31.477,29.306,31.127,29.763,30.941,30.639,31.477,30.431,31.688
30.639,31.994,29.74,31.127,30.894,31.477,29.58,30.941,29.694,30.941,30.662,31.524,30.778,31.688
30.246,30.941,29.534,30.732,30.778,31.501,29.351,31.267,29.694,30.778,30.662,31.454,30.639,31.594
30.778,31.688,29.694,30.732,30.778,31.454,29.42,31.057,29.74,30.894,30.57,31.454,30.2,31.829
30.616,30.941,29.626,30.616,30.801,26.425,29.442,31.057,29.557,30.918,30.709,31.501,30.269,31.688
